Funder,Year,GLRI Amount,Project Type,Project Title,Recipient Name,Project Description,Focus Area,Project Start Date,Project End Date,Affected States,Latitude,Longitude
ATSDR,2016,"$850,000 ",Continuation,Biomonitoring Legacy and Emerging Great Lakes Contaminants in Susceptible Great Lakes Populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry is scheduled to fund (by June 1, 2016) a cooperative agreement program to conduct measurements of legacy contaminants and chemicals of emerging concern in people who live in a Great Lakes area with high levels of contaminants and who eat locally caught fish. The target study area will be unique from those monitored previously. The purpose is to see if there is a higher amount of toxins in people with greater exposure risk.  This information will guide actions that the funded state health department takes to protect people.",1 - Toxic Substances and Areas of Concern,7/1/2016,6/30/2020,WI,43,-88
BIA,2019,"$99,798 ",New Project,Contaminant Screening in Indigenous Medicinal and Traditional Food Plants in the St. Lawrence River Area of Concern (AOC) – Phase I,St. Regis Mohawk Tribe of NY,"To restore beneficial uses, restore native plant species of cultural significance, and verify chemical concentrations to ensure safe harvest of Mohawk traditional plants and medicines for consumption in the Indian Meadows (Grasse River) of the St. Lawrence River AOC. ",1 - Toxic Substances and Areas of Concern,7/1/2019,12/31/2020,NY,44.992332,-74.659138
EPA,2010,"$178,000 ",New Project,Assessment of Three Michigan Beneficial Use Impairments,Michigan Dept of Environmental Quality,"This project will implement procedures to monitor, assess, and prepare delisting documents for up to ten Beneficial Use Impairments (BUIs) across all Areas of Concern in Michigan. These procedures will likely result in several immediate BUI removals and will set the stage for restoring additional beneficial uses in the coming years.",1 - Toxic Substances and Areas of Concern,9/1/2010,8/31/2015,MI,42.730874,-84.556274
EPA,2010,"$491,000 ",New Project,Beneficial Use Impairment Monitoring of Milwaukee Estuary Area of Concern,Ozaukee County (WI),"This project will implement a comprehensive monitoring program of the Milwaukee River in Ozaukee County to partially address delisting targets or required actions for 7 of the 11 Beneficial Use Impairments (BUI). The project includes fish population surveys, sediment sampling and analysis for Polychlorinated Biphenyls (PCB), and water quality monitoring for phosphorous, pathogens, and other constituents relevant to addressing BUIs.",1 - Toxic Substances and Areas of Concern,9/1/2010,12/31/2014,WI,43.388614,-87.87333
EPA,2010,"$296,358 ",New Project,Chicago as a Source of Air Toxics to Lake Michigan,University of Iowa,This project will investigate the importance of the Chicago region as a source of persistent organic pollutants to Lake Michigan. The overall goal of the project is to better understand the relationship between the observed concentrations of persistent organic pollutants in Chicago’s air and their subsequent deposition into Lake Michigan. This work will identify and quantify hotspots of emission sources of persistent organic pollutants in Chicago for potential source reduction and/or remediation.,1 - Toxic Substances and Areas of Concern,9/1/2010,8/31/2015,Multi-state,41.946606,-87.644046
EPA,2010,"$1,207,055 ",New Project,Consortium of State Fish Advisory Programs,Minnesota Department of Health,This project will provide support for the State of Minnesota and the consortium of Great Lakes state fish advisory programs to work together to increase public knowledge about risks and benefits of eating fish and promote more consistent fish consumption advisory messages. This project will complement other state fish consumption projects in the basin because each of the Great Lakes are part of the consortium and will utilize the outcomes of this project in their own states.,1 - Toxic Substances and Areas of Concern,9/1/2010,11/30/2014,MN,44.954,-93.098
EPA,2010,"$1,001,177 ",New Project,Enhance Wisconsin Fish Advisory Program,Wisconsin Department of Health and Family Services,"This five year project includes all components needed to improve Wisconsin's fish consumption advisories: assessment of essential nutrients and contaminants in Great Lakes fish; consumer focus groups; serial evaluation of advisory awareness and fish consumption; contaminant body burdens and health status among elderly men who eat frequent meals of Great Lakes fish; and the development of interactive web pages and electronic media outreach tools. Fish and human tissues will be analyzed for selenium, omega-3 fatty acids, polychlorinated biphenyls (including PCB11), brominated flame retardants, perflourinated organic acids, toxaphene, DDE, and toxic metals.",1 - Toxic Substances and Areas of Concern,9/1/2010,2/28/2017,WI,43.072,-89.3818
EPA,2010,"$174,941 ",New Project,Enhancing Integrated Atmospheric Deposition Network with Passive Samplers,University of Rhode Island,This project will support Annexes 12 and 15 of the GLWQA and the Toxic Substances and Areas of Concern focus area of the GLRI by enhancing the Integrated Atmospheric Deposition Network (IADN) with passive samplers. Samplers will be deployed in the atmosphere and surface water along coastal stations and mid-lake to: (i) assess the extent to which atmospheric concentrations of persistent bioaccumulative toxics (PBTs) vary across Lakes Erie and Ontario; (ii) determine the amount of atmospheric PBTs being transferred to Lakes Erie and Ontario; and (iii) detect emerging contaminants of concern across Lakes Erie and Ontario. This work will also identify source regions of PBTs for potential source reduction and better measure the progress of restoration efforts.,1 - Toxic Substances and Areas of Concern,9/1/2010,8/30/2015,Multi-state,43.044805,-79.189453
EPA,2010,"$581,851 ",New Project,Enhancing St. Regis Mohawk Tribe Fish Advisory Communication,Health Research Inc.,"Health Research Inc. will collaborate with the New York State Department of Health (NYSDOH), New York State Department of Environmental Conservation (NYSDEC), and the St. Regis Mohawk Tribe (SRMT) to update SRMT's fish advisories and to communicate benefits and risks of consuming fish caught from the St. Lawrence River Basin. The project will engage the community in the design and development of new fish advisory communications, increase awareness and understanding of advisory messages, and maintain and respect traditional tribal customs and beliefs.",1 - Toxic Substances and Areas of Concern,10/1/2010,12/31/2014,NY,44.977,-74.65
EPA,2010,"$1,062,331 ",New Project,Fish-Net - Curriculum for Healthcare Providers,University of Illinois-Chicago,"The goal of this project is to reach healthcare providers with a message regarding the health benefits and risks of Great Lakes fish consumption. Healthcare providers are one of the most trusted sources of fish consumption advice. The project plans to utilize, upgrade, and redesign the content of a recently developed fish consumption curriculum (FishFacts) that was developed for Great Lakes Basin healthcare professionals to test its efficacy among pediatricians, obstetricians, family doctors, and nurse midwives. Once the curriculum is revised and finalized, the grant recipient will develop and implement a curriculum marketing strategy for the Great Lake healthcare professionals that focuses on specialty professional organizations’ websites, conferences, and journals. Curriculum uptake will also be assessed.",1 - Toxic Substances and Areas of Concern,8/25/2010,2/24/2017,IL,41.869235,-87.667716
EPA,2010,"$730,000 ",Continuation,Great Lakes Legacy Act (Buffalo River),U.S. EPA,"To delineate the limits of sediment contamination in the Lower Buffalo River near Buffalo, New York, develop a feasibility study and develop the remedial design and bid specifications for the selected remedial option for contaminated sediments in the entire Buffalo River Area of Concern.",1 - Toxic Substances and Areas of Concern,10/26/2010,12/31/2011,NY,42.88,-78.891
EPA,2010,"$278,925 ",Continuation,Great Lakes Legacy Act (Eighteenmile Creek Area of Concern),U.S. EPA,To conduct site characterization activities at the Eighteen - Mile creek,1 - Toxic Substances and Areas of Concern,4/6/2010,8/10/2011,NY,43.338,-78.7186
EPA,2010,"$702,395 ",New Project,Great Lakes Sediment Surveillance Program,University of Illinois-Chicago,"This project will investigate the presence of persistent, bioaccumulative and toxic substances (PBTs), and determining the spatial distribution and temporal trend of PBTs in the Great Lakes through sedimentary records. Sediment samples will be collected in all 5 Great Lakes and selected inland lakes, age-dated and analyzed for PBTs. The program will make high quality data available to the public and the Great Lakes scientific community.",1 - Toxic Substances and Areas of Concern,9/1/2010,8/31/2015,IL,41.879235,-87.677716
EPA,2010,"$937,669 ",New Project,Health Care Provider Organization Outreach,Michigan State University,"The goal of this project is to inform fish consumers about the harmful impact of environmental chemicals and to improve compliance with advisories on fish consumption. The grantee will accomplish this by working directly with medical and nursing students in the State of Michigan. The grantee will provide students with tools and information to identify ""at risk"" patients and to determine appropriate fish consumption levels.",1 - Toxic Substances and Areas of Concern,9/1/2010,8/30/2016,MI,42.7303,-84.4805
EPA,2010,"$856,046 ",New Project,Implementation of Mercury strategies in Michigan,Michigan Dept of Environmental Quality,"The purpose of this grant is to implement state and regional mercury strategies within the State of Michigan. Activities include outreach; education and funding to enhance implementation of Michigan’s prohibition on open burning of refuse; a mercury ban in schools; efforts to promote proper disposal of thermostats, furnaces and white goods; auto switch recycling; and installation of amalgam separators at dentist offices.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2015,MI,42.6787,-84.5016
EPA,2010,"$458,524 ",New Project,Mercury Testing and Updating Tribal Walleye Consumption Advice,Great Lakes Indian Fish and Wildlife Commission,"This project will determine mercury levels in walleye, lake trout, whitefish, cisco, and siscowet from Lake Superior and walleye from inland lakes. Test results for selected fish species and areas in Lake Superior will be compared with data from previous testing. Results from inland waters will be used to update tribal and lake specific maps and consumption advice aimed at reducing health risks associated with consuming mercury contaminated walleye.",1 - Toxic Substances and Areas of Concern,9/1/2010,10/31/2014,WI,46.59969,-90.661
EPA,2010,"$998,008 ",Increase,Operation of the Integrated Atmospheric Deposition Network (IADN),Indiana University,"This assistance will provide continued implementation of the Integrated Atmospheric Deposition Network (IADN) as mandated by Annex 15 of the Great Lakes Water Quality Agreement. IADN is a binational (U.S.-Canada) network made up of 5 master stations (one per Great Lake) and 10 satellite stations. The intent of IADN is to measure and evaluate persistent organic pollutant concentrations in the atmosphere (airborne vapor, airborne particles, and precipitation). The measurements are used to calculate loadings of selected toxic organic contaminants to the Great Lakes and to explore spatiotemporal trends in their atmospheric and precipitation concentrations in order to measure progress in the environment as a result of toxics reduction efforts.",1 - Toxic Substances and Areas of Concern,10/1/2009,9/30/2015,IN,39.166271,-86.5266
EPA,2010,"$1,027,847 ",Increase,Operation of the Integrated Atmospheric Deposition Network (IADN),Indiana University,"This assistance will provide continued implementation of the Integrated Atmospheric Deposition Network (IADN) as mandated by Annex 15 of the Great Lakes Water Quality Agreement. IADN is a binational (U.S.-Canada) network made up of 5 master stations (one per Great Lake) and 10 satellite stations. The intent of IADN is to measure and evaluate persistent organic pollutant concentrations in the atmosphere (airborne vapor, airborne particles, and precipitation). The measurements are used to calculate loadings of selected toxic organic contaminants to the Great Lakes and to explore spatiotemporal trends in their atmospheric and precipitation concentrations in order to measure progress in the environment as a result of toxics reduction efforts.",1 - Toxic Substances and Areas of Concern,10/1/2009,9/30/2015,IN,39.16627,-86.5266
EPA,2010,"$3,347,362 ",New Project,Portage Creek Toxic Substance Source Reduction,Michigan Dept of Environmental Quality,"This project will restore 1,440 linear feet of habitat in an industrialized section of Portage Creek, by removing deteriorating cement channel walls and contaminated fill material from the upland floodplain area. The project will significantly restore habitat for fish and benthic organisms and address the three habitat-related Beneficial Use Impairments which will lead to delisting the Kalamazoo River Area of Concern.",1 - Toxic Substances and Areas of Concern,10/1/2010,12/31/2014,MI,42.27213,-85.57719
EPA,2010,"$25,000 ",New Project,Quality Assurance for Air Monitoring Network,Environment Canada,"This grant provides funding for the Integrated Atmospheric Deposition Network (IADN). The IADN is a binational U.S. and Canada air toxics monitoring network that promotes data compatibility and quality across U.S. and Canadian agencies. The program includes continued use of an IADN Quality Assurance Officer and review of data from the binational monitoring station at Point Petre, Ontario.",1 - Toxic Substances and Areas of Concern,9/1/2010,3/31/2016,Multi-state,43.992815,-79.716797
EPA,2010,"$1,229,415 ",New Project,St. Lawrence River Area of Concern Beneficial Use Impairment Evaluations,Saint Regis Mohawk Tribe,"This project will focus on 4 Beneficial Use Impairments (Restrictions on Fish and Wildlife Consumption, Degradation of Fish and Wildlife Populations, Bird/Animal Deformities or Reproductive Problems, and Loss of Fish and Wildlife Habitat) in the St. Lawrence River, Massena, NY, Area of Concern. This project will monitor furbearers, turtles and birds, and conduct tissue analysis of wildlife to assist decision-makers considering restrictions on wildlife consumption.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2017,NY,44.978,-74.69
EPA,2010,"$1,250,000 ",New Project,State Capacity for LAMP/Area of Concern Priorities,New York State Dept. of Environmental Conservation,"This project will form a Great Lakes Team to coordinate project planning, public outreach, sampling and monitoring for the Lake Ontario and Lake Erie Management Plans, and management of the Great Lakes Areas of Concern in New York State.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2011,NY,42.652,-73.7486
EPA,2010,"$835,871 ",New Project,Support for Delisting the Beneficial Use Impairments in Wisconsin’s five Areas of Concern,University of Wisconsin,"This project will provide statewide and local coordination and support for delisting the Beneficial Use Impairments (BUIs) in Wisconsin’s five Areas of Concern (AOCs). Work will include group facilitation, project coordination, program planning, materials development, and communication for a variety of State-wide and local committees. Basin educators from the University of Wisconsin Extension Service program will build a sustainable management structure which will lead to the strategic implementation of the actions needed for BUI delisting.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2015,WI,44.51511,-88.01422
EPA,2010,"$295,000 ",New Project,Sustainable Hazardous Waste Collection Program,Keweenaw Bay Indian Community,"The tribe will develop a sustainable hazardous waste collection program to serve tribal and non-tribal community members in Baraga County to prevent toxic contaminants from entering Lake Superior. The program will include household hazardous waste and electronic waste collection events, the construction of a hazardous waste storage building, and public outreach and education.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2016,MI,46.852,-88.488
EPA,2011,"$498,632 ",New Project,Assessing Michigan's Beneficial Use of Sport-Caught Fish,Michigan Department of Community Health,"The Michigan Department of Community Health (MDCH) will partner with the Michigan Department of Environmental Quality (MDEQ) and Michigan's 14 Area of Concern Public Advisory Councils (PACs) to assess progress toward removal of three Beneficial Use Impairments: Fish Consumption Advisories, Tainting of Fish Flavor, and Fish Tumors and Other Deformities and to make recommendations for further action. Fish samples will be analyzed for polychlorinated biphenyls, mercury and/or dioxin at five priority Areas of Concern to assist in removal of the Fish Consumption Advisory BUIs. Community-specific public outreach to promote safe sport-caught fish consumption will be developed and implemented by the state and the PACs.",1 - Toxic Substances and Areas of Concern,8/1/2011,1/31/2016,MI,42.732458,-84.555244
EPA,2011,"$297,073 ",Increase,Chicago as a Source of Air Toxics to Lake Michigan,University of Iowa,This project will investigate the importance of the Chicago region as a source of persistent organic pollutants to Lake Michigan. The overall goal of the project is to better understand the relationship between the observed concentrations of persistent organic pollutants in Chicago’s air and their subsequent deposition into Lake Michigan. This work will identify and quantify hotspots of emission sources of persistent organic pollutants in Chicago for potential source reduction and/or remediation.,1 - Toxic Substances and Areas of Concern,9/1/2010,8/31/2015,Multi-state,41.946606,-87.644046
EPA,2011,"$497,085 ",New Project,Eighteenmile Creek Remedial Action Plan Coordination 2012-2016,Niagara County (NY) Soil and Water Conservation District,"The grant will support the Niagara County Soil and Water Conservation District’s (NCSWCD) work as lead agency for Remedial Action Plan (RAP) coordination and management in the Eighteenmile Creek Area of Concern (AOC) during the next five years (2012-2016). The NCSWCD will continue current efforts to manage AOC planning, assessment, and restoration activities necessary to delist this AOC. The NCSWCD will coordinate with EPA and the State of New York on the Legacy Act site characterization project for this AOC, conduct studies that address contaminant impacts on the creek, continue a number of environmental studies needed to remove Beneficial Use Impairments at the AOC, continue community outreach, and coordinate these projects among the various RAP partners.",1 - Toxic Substances and Areas of Concern,1/1/2012,12/31/2016,NY,43.2872,-78.70743
EPA,2011,"$165,658 ",Increase,Enhancing Integrated Atmospheric Deposition Network With Passive Samplers,University of Rhode Island,This project will support Annexes 12 and 15 of the GLWQA and the Toxic Substances and Areas of Concern focus area of the GLRI by enhancing the Integrated Atmospheric Deposition Network (IADN) with passive samplers. Samplers will be deployed in the atmosphere and surface water along coastal stations and mid-lake to: (i) assess the extent to which atmospheric concentrations of persistent bioaccumulative toxics (PBTs) vary across Lakes Erie and Ontario; (ii) determine the amount of atmospheric PBTs being transferred to Lakes Erie and Ontario; and (iii) detect emerging contaminants of concern across Lakes Erie and Ontario. This work will also identify source regions of PBTs for potential source reduction and better measure the progress of restoration efforts.,1 - Toxic Substances and Areas of Concern,9/1/2010,8/30/2015,Multi-state,43.044805,-79.189453
EPA,2011,"$807,332 ",Continuation,Great Lakes Legacy Act (Maumee River Area of Concern),U.S. EPA,"To conduct site characterization work at the Ottawa River, Duck and Otter creek, Swan creek and the lower Maumee River in the Maumee River Area of Concern in Toledo, OH",1 - Toxic Substances and Areas of Concern,6/27/2011,10/30/2013,OH,41.69,-83.463
EPA,2011,"$18,050,377 ",Continuation,Great Lakes Legacy Act (Milwaukee Estuary Area of Concern),U.S. EPA,"To conduct site characterization work and conduct the dredging of contaminated sediment from the Lincoln Park (Phase I) in the Milwaukee Estuary Area of Concern in Milwuakee, WI",1 - Toxic Substances and Areas of Concern,8/22/2011,9/30/2015,WI,43.032,-87.91
EPA,2011,"$313,840 ",Increase,Great Lakes Sediment Surveillance Program (GLSSP),University of Illinois-Chicago,"This project will investigate the presence of persistent, bioaccumulative and toxic substances (PBTs), and determining the spatial distribution and temporal trend of PBTs in the Great Lakes through sedimentary records. Sediment samples will be collected in all 5 Great Lakes and selected inland lakes, age-dated and analyzed for PBTs. The program will make high quality data available to the public and the Great Lakes scientific community.",1 - Toxic Substances and Areas of Concern,9/1/2010,8/31/2015,IL,41.879235,-87.677716
EPA,2011,"$200,000 ",Revision,Lakewide Management Plan/ Remedial Action Plans,Illinois Department of Natural Resources,"This project will provide capacity for the Illinois Department of Natural Resources to assist with the development and implementation of Lakewide Management Plans for Lake Michigan, as well as Remedial Action Plans for an Area of Concern. The agency will assess ecosystems, quality-assure data, remediate problems in order to delist Beneficial Use Impairments; and control nutrients, invasive species and habitat loss lakewide.",1 - Toxic Substances and Areas of Concern,9/30/2010,6/1/2016,IL,42.3645,-87.823
EPA,2011,"$3,063,649 ",New Project,Michigan DEQ - Area of Concern Restoration and Great Lakes Coordination,Michigan Dept of Environmental Quality,"This will fund Michigan Department of Environmental Quality's Area of Concern Program and the Great Lakes Coordination for Fiscal Years 2011-2014. The project encompasses Michigan's 14 Areas of Concern and Lakewide Management Plans for Lakes Superior, Michigan, Erie, and the Binational Partnership for Lake Huron and the Lake St. Comprehensive Management Plan. The expected outcome of these projects is the delisting of Beneficial Use Impairments in Michigan's 14 Areas of Concern.",1 - Toxic Substances and Areas of Concern,10/1/2011,1/31/2015,MI,42.733207,-84.559321
EPA,2011,"$878,555 ",Increase,Minnesota Lake Superior LaMP Support,Minnesota Pollution Control Agency,"This project will provide capacity for the Minnesota Pollution Control Agency to assist with the development and implementation of the Lake Superior Lakewide Management Plan, as well as the Remedial Action Plans for the St. Louis River Area of Concern. The agency will assess ecosystems, quality assure data, remediate problems in order to delist Beneficial Use Impairments; and control nutrients, invasive species and habitat loss lakewide.",1 - Toxic Substances and Areas of Concern,10/1/2010,3/30/2016,MN,46.965259,-92.087402
EPA,2011,"$25,000 ",Increase,Quality Assurance for Air Monitoring Network,Environment Canada,"This grant provides funding for the Integrated Atmospheric Deposition Network (IADN). The IADN is a binational U.S. and Canada air toxics monitoring network that promotes data compatibility and quality across U.S. and Canadian agencies. The program includes continued use of an IADN Quality Assurance Officer and review of data from the binational monitoring station at Point Petre, Ontario.",1 - Toxic Substances and Areas of Concern,9/1/2010,3/31/2016,Multi-state,43.992815,-79.716797
EPA,2011,"$207,000 ",New Project,Reduction of Poly-aromatic hydrocarbon releases from Coal Tar-Based Sealants,Minnesota Pollution Control Agency,The project will reduce the use and release of cancer-causing chemicals from coal tar sealants exposure in the Great Lakes region.,1 - Toxic Substances and Areas of Concern,10/1/2011,12/31/2014,MN,44.94,-93.05
EPA,2011,"$1,495,000 ",New Project,Restoring Fish Passage in the River Raisin Area of Concern,Michigan Department of Environmental Quality,"Michigan Department of Environmental Quality and project partners will implement the second phase of a two part plan to open up Lake Erie to the lower 23 miles of the River Raisin for the first time in over 70 years. This project will reconnect an additional 9.5 miles of river by addressing impediments at four dams. This project will improve fish passage, while advancing the delisting of the fish and wildlife related Beneficial Use Impairments in the River Raisin Area of Concern.",1 - Toxic Substances and Areas of Concern,7/15/2011,2/28/2015,MI,41.94417,-83.491974
EPA,2011,"$1,320,212 ",Revision,Sheboygan River Area of Concern - 6 habitat restoration projects,Wisconsin Department of Natural Resources,"The Wisconsin Department of Natural Resources will implement six habitat restoration projects and conduct three unique assessments within the Sheboygan River Area of Concern (AOC). Habitat restoration projects will enhance approximately one mile of river shoreline, improve ten acres of wetland in the Sheboygan River floodplain, treat twelve acres of riparian area affected by non-native vegetation, and enhance one mile of riverine aquatic habitat. Assessments will document contaminants present in waterfowl, evaluate incidence of fish tumors, and quantify the benthic and open water invertebrate community of the Sheboygan River. The expected outcome of these projects is the removal of up to six Beneficial Use Impairments present in this AOC.",1 - Toxic Substances and Areas of Concern,6/1/2011,12/30/2016,WI,43.74927,-87.705746
EPA,2011,"$1,250,000 ",Revision,State Capacity Lakewide Management Plans For The Areas Of Concern Priorities Within New York State,New York State Dept. of Environmental Conservation,"This project will form a Great Lakes Team to coordinate project planning, public outreach, sampling and monitoring for the Lake Ontario and Lake Erie Management Plans, and management of the Great Lakes Areas of Concern in New York State.",1 - Toxic Substances and Areas of Concern,10/1/2010,9/30/2015,NY,42.652,-73.7486
EPA,2011,"$307,487 ",New Project,Sturgeon Blood and Tissue Assay of Pollutants in Rochester Emb,University of Rochester,"This project will evaluate fish contaminant levels in the Rochester Embayment Area of Concern to determine whether the Fish Consumption Beneficial Use Impairment can be removed and whether the fish consumption advisory can be lifted. This project will produce updated data on the level of toxic contaminants (silver, mercury, polychlorinated biphenyls, dioxins/furans and pesticides) in the tissue of lake sturgeon residing in the Lower Genesee River. These data will be compared with age-matched lake sturgeon in a nearby tributary.",1 - Toxic Substances and Areas of Concern,7/1/2011,6/30/2014,NY,43.11702,-77.65137
EPA,2011,"$200,000 ",New Project,Toxics Reduction and Sustainability in Paper Manufacturing,New York State Pollution Prevention Institute - Rochester Institute of Technology,"Rochester Institute of Technology researchers will conduct assessments at four paper manufacturing companies to identify opportunities to reduce toxic chemical releases to the Great Lakes, reduce energy consumption and water usage, and reduce operational costs. The companies implementing the recommendations are expected to reduce releases of mercury, Polychlorinated Biphenyls and Poly-aromatic hydrocarbons by 5%, reduce fuel and water consumption, and reduce costs.",1 - Toxic Substances and Areas of Concern,8/1/2011,7/31/2016,NY,44.7,-75
